,ip.dsfield.dscp,udp.length,udp.checksum,eth.src.ig,udp.time_relative,udp.srcport,frame.time_epoch,frame.time_delta,ip.dsfield,frame.interface_name,ip.dsfield.ecn,udp.dstport,frame.len,ip.flags.rb,ip.addr,frame.section_number,ip.src_host,udp.port,ip.src,ip.version,ip.id,eth.dst.lg,eth.src.oui,eth.dst.oui,ip.ttl,frame.marked,frame.encap_type,udp.payload,eth.addr.oui,frame.time_utc,ip.hdr_len,frame.ignored,udp.checksum.status,ip.flags,ip.dst,_index,ip.len,_type,ip.checksum,ip.flags.df,ip.proto,eth.type,data.len,eth.dst_resolved,eth.src_resolved,frame.protocols,ip.dst_host,eth.lg,eth.src,frame.time,frame.interface_id,eth.addr,ip.flags.mf,udp.stream,udp.time_delta,frame.time_relative,ip.frag_offset,eth.src.lg,data.data,_score,ip.host,ip.checksum.status,eth.addr_resolved,frame.cap_len,frame.offset_shift,frame.time_delta_displayed,eth.ig,eth.dst.ig,frame.number,eth.dst
0,0,413,0x3772,0,0.000000000,34032,1730398715.046448000,0.000000000,0x00,unknown,0,3833,447,0,172.31.65.199,1,73.233.222.192,3833,73.233.222.192,4,0x888b,1,1462890,1498427,52,0,1,01:07:01:95:71:7e:f1:55:f7:f2:5d:bb:65:53:0a:6b:1f:33:e1:aa:01:0e:30:65:39:64:38:66:63:64:33:62:62:36:02:12:be:9c:57:aa:83:30:cd:c8:66:bb:db:22:30:71:8c:73:04:06:0a:00:80:67:20:22:55:53:41:2e:46:4c:2e:33:34:31:34:35:2e:38:30:32:31:31:4e:45:54:57:2e:4d:41:52:43:4f:49:53:4c:41:1e:19:44:34:2d:42:41:2d:42:41:2d:41:31:2d:34:38:2d:34:33:3a:56:41:55:4c:54:3d:06:00:00:00:13:1a:2c:00:00:e6:08:01:13:64:34:2d:62:61:2d:62:61:2d:61:31:2d:34:38:2d:34:30:02:13:33:2e:32:33:39:2e:39:30:2e:31:31:34:3a:33:38:33:33:1f:13:30:45:2d:39:44:2d:38:46:2d:43:44:2d:33:42:2d:42:36:4d:18:43:4f:4e:4e:45:43:54:20:31:31:4d:62:70:73:20:38:30:32:2e:31:31:62:bc:06:00:0f:ac:02:f5:29:1a:00:00:00:2c:50:01:fd:6f:9d:b2:f8:fc:a6:9e:1d:74:b5:f9:c7:f8:57:d5:ef:06:36:91:21:6d:ad:b7:53:a1:b2:3f:67:5b:6e:21:f5:82:1a:00:00:00:2c:50:02:02:03:00:75:02:01:0a:00:10:00:00:00:00:00:00:00:01:d3:47:d7:a1:a9:92:91:38:6a:9d:53:2c:fd:d6:a6:73:aa:d0:1b:98:47:bc:08:c7:eb:70:bc:53:ea:c5:52:c2:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:ec:e1:c1:ce:60:3b:65:c2:2f:52:3e:19:17:7b:bf:92:00:16:30:14:01:00:00:0f:ac:04:01:00:00:0f:ac:04:01:00:00:0f:ac:02:8c:00:50:12:61:56:4f:c7:ee:8f:c1:56:d1:1e:23:11:2f:49:4b:0d,1462890,"Oct 31, 2024 18:18:35.046448000 UTC",20,0,2,0x00,172.31.65.199,packets-2024-10-31,433,doc,0xe620,0,17,0x0800,405,16:dd:3b:97:52:91,16:52:6a:41:ce:b3,eth:ethertype:ip:udp:data,172.31.65.199,1,16:52:6a:41:ce:b3,"Oct 31, 2024 18:18:35.046448000 UTC",0,16:52:6a:41:ce:b3,0,0,0.000000000,0.000000000,0,1,01:07:01:95:71:7e:f1:55:f7:f2:5d:bb:65:53:0a:6b:1f:33:e1:aa:01:0e:30:65:39:64:38:66:63:64:33:62:62:36:02:12:be:9c:57:aa:83:30:cd:c8:66:bb:db:22:30:71:8c:73:04:06:0a:00:80:67:20:22:55:53:41:2e:46:4c:2e:33:34:31:34:35:2e:38:30:32:31:31:4e:45:54:57:2e:4d:41:52:43:4f:49:53:4c:41:1e:19:44:34:2d:42:41:2d:42:41:2d:41:31:2d:34:38:2d:34:33:3a:56:41:55:4c:54:3d:06:00:00:00:13:1a:2c:00:00:e6:08:01:13:64:34:2d:62:61:2d:62:61:2d:61:31:2d:34:38:2d:34:30:02:13:33:2e:32:33:39:2e:39:30:2e:31:31:34:3a:33:38:33:33:1f:13:30:45:2d:39:44:2d:38:46:2d:43:44:2d:33:42:2d:42:36:4d:18:43:4f:4e:4e:45:43:54:20:31:31:4d:62:70:73:20:38:30:32:2e:31:31:62:bc:06:00:0f:ac:02:f5:29:1a:00:00:00:2c:50:01:fd:6f:9d:b2:f8:fc:a6:9e:1d:74:b5:f9:c7:f8:57:d5:ef:06:36:91:21:6d:ad:b7:53:a1:b2:3f:67:5b:6e:21:f5:82:1a:00:00:00:2c:50:02:02:03:00:75:02:01:0a:00:10:00:00:00:00:00:00:00:01:d3:47:d7:a1:a9:92:91:38:6a:9d:53:2c:fd:d6:a6:73:aa:d0:1b:98:47:bc:08:c7:eb:70:bc:53:ea:c5:52:c2:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:ec:e1:c1:ce:60:3b:65:c2:2f:52:3e:19:17:7b:bf:92:00:16:30:14:01:00:00:0f:ac:04:01:00:00:0f:ac:04:01:00:00:0f:ac:02:8c:00:50:12:61:56:4f:c7:ee:8f:c1:56:d1:1e:23:11:2f:49:4b:0d,,172.31.65.199,2,16:52:6a:41:ce:b3,447,0.000000000,0.000000000,0,0,1,16:dd:3b:97:52:91
1,0,421,0x1847,0,0.056584000,3833,1730398715.103032000,0.056584000,0x00,unknown,0,34032,455,0,73.233.222.192,1,172.31.65.199,34032,172.31.65.199,4,0x4325,1,1498427,1462890,255,0,1,02:07:01:9d:8d:b3:65:22:1f:b1:c3:96:d5:63:68:ed:1b:5b:f7:0a:1a:2a:00:00:e2:e6:97:24:06:22:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:29:00:00:61:dd:8e:23:00:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:3a:00:00:01:37:11:34:80:14:54:a7:38:a4:30:17:f1:c6:82:f0:5f:37:83:bd:4a:ba:14:ec:29:18:45:57:98:f6:95:8c:2b:4e:88:ed:6a:f5:84:78:98:a7:71:97:f6:d3:9a:9a:f7:26:0d:00:8c:b4:1a:0c:00:00:e2:e6:01:06:00:0f:42:40:1a:0c:00:00:e2:e6:02:06:00:0f:42:40:1a:0c:00:00:e2:e6:03:06:33:36:30:30:45:15:00:8a:d5:be:f2:1f:8b:af:11:a6:79:b3:21:a7:7f:fb:56:f0:e5:51:06:31:30:30:30:41:06:00:00:00:06:40:06:00:00:00:0d:01:08:51:75:61:4d:68:6f:1a:0f:00:00:e2:e6:97:09:05:07:56:41:55:4c:54:1a:0c:00:00:e2:e6:04:06:00:00:00:64:1a:2a:00:00:2e:57:04:24:01:22:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:1a:00:00:39:e7:2c:14:94:79:05:5c:38:f5:4a:d9:b9:7b:30:8e:e0:0c:c0:c5:10:ca:1a:16:00:00:00:09:01:10:70:73:6b:2d:6d:6f:64:65:3d:61:73:63:69:69:1a:14:00:00:00:09:01:0e:70:73:6b:3d:77:2e:51:75:61:4d:68:6f:1a:1a:00:00:de:2a:bd:14:9c:98:6a:10:a5:1d:bb:10:fd:59:94:6a:2d:6b:a9:2a:cd:ba:55:06:00:00:07:08,1498427,"Oct 31, 2024 18:18:35.103032000 UTC",20,0,2,0x00,73.233.222.192,packets-2024-10-31,441,doc,0x607e,0,17,0x0800,413,16:52:6a:41:ce:b3,16:dd:3b:97:52:91,eth:ethertype:ip:udp:data,73.233.222.192,1,16:dd:3b:97:52:91,"Oct 31, 2024 18:18:35.103032000 UTC",0,16:dd:3b:97:52:91,0,0,0.056584000,0.056584000,0,1,02:07:01:9d:8d:b3:65:22:1f:b1:c3:96:d5:63:68:ed:1b:5b:f7:0a:1a:2a:00:00:e2:e6:97:24:06:22:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:29:00:00:61:dd:8e:23:00:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:3a:00:00:01:37:11:34:80:14:54:a7:38:a4:30:17:f1:c6:82:f0:5f:37:83:bd:4a:ba:14:ec:29:18:45:57:98:f6:95:8c:2b:4e:88:ed:6a:f5:84:78:98:a7:71:97:f6:d3:9a:9a:f7:26:0d:00:8c:b4:1a:0c:00:00:e2:e6:01:06:00:0f:42:40:1a:0c:00:00:e2:e6:02:06:00:0f:42:40:1a:0c:00:00:e2:e6:03:06:33:36:30:30:45:15:00:8a:d5:be:f2:1f:8b:af:11:a6:79:b3:21:a7:7f:fb:56:f0:e5:51:06:31:30:30:30:41:06:00:00:00:06:40:06:00:00:00:0d:01:08:51:75:61:4d:68:6f:1a:0f:00:00:e2:e6:97:09:05:07:56:41:55:4c:54:1a:0c:00:00:e2:e6:04:06:00:00:00:64:1a:2a:00:00:2e:57:04:24:01:22:5b:2d:ae:64:8b:01:f3:54:1b:30:1c:f2:3b:24:be:c7:f4:39:c9:9c:b4:61:c8:77:f1:fb:8a:70:b2:cb:74:9b:1a:1a:00:00:39:e7:2c:14:94:79:05:5c:38:f5:4a:d9:b9:7b:30:8e:e0:0c:c0:c5:10:ca:1a:16:00:00:00:09:01:10:70:73:6b:2d:6d:6f:64:65:3d:61:73:63:69:69:1a:14:00:00:00:09:01:0e:70:73:6b:3d:77:2e:51:75:61:4d:68:6f:1a:1a:00:00:de:2a:bd:14:9c:98:6a:10:a5:1d:bb:10:fd:59:94:6a:2d:6b:a9:2a:cd:ba:55:06:00:00:07:08,,73.233.222.192,2,16:dd:3b:97:52:91,455,0.000000000,0.056584000,0,0,2,16:52:6a:41:ce:b3
2,0,272,0x905e,0,0.000000000,39885,1730398715.173052000,0.070020000,0x00,unknown,0,3834,306,0,172.31.65.199,1,73.233.222.192,3834,73.233.222.192,4,0x8895,1,1462890,1498427,52,0,1,04:08:01:08:be:4f:fb:55:fe:49:ea:23:e9:b2:30:00:78:83:e0:f9:28:06:00:00:00:01:2d:06:00:00:00:02:01:08:51:75:61:4d:68:6f:04:06:0a:00:80:67:20:22:55:53:41:2e:46:4c:2e:33:34:31:34:35:2e:38:30:32:31:31:4e:45:54:57:2e:4d:41:52:43:4f:49:53:4c:41:1e:19:44:34:2d:42:41:2d:42:41:2d:41:31:2d:34:38:2d:34:33:3a:56:41:55:4c:54:3d:06:00:00:00:13:06:06:00:00:00:02:05:06:00:00:00:01:1f:13:30:45:2d:39:44:2d:38:46:2d:43:44:2d:33:42:2d:42:36:4d:18:43:4f:4e:4e:45:43:54:20:35:34:4d:62:70:73:20:38:30:32:2e:31:31:61:2c:12:44:41:42:44:43:36:33:37:43:31:41:37:45:41:39:31:ba:06:00:0f:ac:04:bb:06:00:0f:ac:04:bc:06:00:0f:ac:02:bd:06:00:0f:ac:06:1a:2c:00:00:e6:08:01:13:64:34:2d:62:61:2d:62:61:2d:61:31:2d:34:38:2d:34:30:02:13:33:2e:32:33:39:2e:39:30:2e:31:31:34:3a:33:38:33:34:37:06:67:23:c9:fb:29:06:00:00:00:00,1462890,"Oct 31, 2024 18:18:35.173052000 UTC",20,0,2,0x00,172.31.65.199,packets-2024-10-31,292,doc,0xe6a3,0,17,0x0800,264,16:dd:3b:97:52:91,16:52:6a:41:ce:b3,eth:ethertype:ip:udp:data,172.31.65.199,1,16:52:6a:41:ce:b3,"Oct 31, 2024 18:18:35.173052000 UTC",0,16:52:6a:41:ce:b3,0,1,0.000000000,0.126604000,0,1,04:08:01:08:be:4f:fb:55:fe:49:ea:23:e9:b2:30:00:78:83:e0:f9:28:06:00:00:00:01:2d:06:00:00:00:02:01:08:51:75:61:4d:68:6f:04:06:0a:00:80:67:20:22:55:53:41:2e:46:4c:2e:33:34:31:34:35:2e:38:30:32:31:31:4e:45:54:57:2e:4d:41:52:43:4f:49:53:4c:41:1e:19:44:34:2d:42:41:2d:42:41:2d:41:31:2d:34:38:2d:34:33:3a:56:41:55:4c:54:3d:06:00:00:00:13:06:06:00:00:00:02:05:06:00:00:00:01:1f:13:30:45:2d:39:44:2d:38:46:2d:43:44:2d:33:42:2d:42:36:4d:18:43:4f:4e:4e:45:43:54:20:35:34:4d:62:70:73:20:38:30:32:2e:31:31:61:2c:12:44:41:42:44:43:36:33:37:43:31:41:37:45:41:39:31:ba:06:00:0f:ac:04:bb:06:00:0f:ac:04:bc:06:00:0f:ac:02:bd:06:00:0f:ac:06:1a:2c:00:00:e6:08:01:13:64:34:2d:62:61:2d:62:61:2d:61:31:2d:34:38:2d:34:30:02:13:33:2e:32:33:39:2e:39:30:2e:31:31:34:3a:33:38:33:34:37:06:67:23:c9:fb:29:06:00:00:00:00,,172.31.65.199,2,16:52:6a:41:ce:b3,306,0.000000000,0.070020000,0,0,3,16:dd:3b:97:52:91
3,0,28,0x16be,0,0.000692000,3834,1730398715.173744000,0.000692000,0x00,unknown,0,39885,62,0,73.233.222.192,1,172.31.65.199,39885,172.31.65.199,4,0x4327,1,1498427,1462890,255,0,1,05:08:00:14:e8:72:b0:00:13:f8:10:d6:57:0b:c7:46:1a:35:82:31,1498427,"Oct 31, 2024 18:18:35.173744000 UTC",20,0,2,0x00,73.233.222.192,packets-2024-10-31,48,doc,0x6205,0,17,0x0800,20,16:52:6a:41:ce:b3,16:dd:3b:97:52:91,eth:ethertype:ip:udp:data,73.233.222.192,1,16:dd:3b:97:52:91,"Oct 31, 2024 18:18:35.173744000 UTC",0,16:dd:3b:97:52:91,0,1,0.000692000,0.127296000,0,1,05:08:00:14:e8:72:b0:00:13:f8:10:d6:57:0b:c7:46:1a:35:82:31,,73.233.222.192,2,16:dd:3b:97:52:91,62,0.000000000,0.000692000,0,0,4,16:52:6a:41:ce:b3
