tcp.time_delta,tcp.completeness.data,tcp.completeness.syn,ip.dst,tcp.time_relative,eth.src.oui,tcp.flags.push,ip.dsfield.ecn,ip.id,frame.time_epoch,tcp.stream,tcp.analysis.bytes_in_flight,tcp.flags.res,_type,_index,ip.frag_offset,ip.host,tcp.flags.ece,ip.dsfield.dscp,frame.time_delta,eth.dst.ig,tcp.flags.ae,tcp.flags.cwr,tcp.flags.syn,ip.len,ip.ttl,frame.marked,frame.encap_type,ip.checksum.status,tcp.completeness,eth.addr.oui_resolved,tcp.payload,ip.src,eth.src.ig,tcp.flags.str,ip.dsfield,frame.len,eth.addr_resolved,tcp.checksum,frame.protocols,frame.time,frame.time_utc,ip.flags.mf,tcp.flags.fin,eth.addr,eth.type,tcp.completeness.fin,tcp.port,ip.addr,tcp.seq_raw,tcp.dstport,ip.proto,ip.dst_host,tcp.completeness.str,tcp.analysis.push_bytes_sent,frame.time_relative,eth.lg,ip.version,tcp.seq,tcp.hdr_len,ip.flags,tcp.completeness.syn-ack,tcp.srcport,ip.hdr_len,ip.checksum,tcp.flags.reset,eth.src,tcp.len,tcp.window_size_value,eth.src.lg,tcp.window_size_scalefactor,tcp.ack_raw,ip.flags.df,eth.dst_resolved,tcp.completeness.ack,tcp.flags.urg,frame.cap_len,tcp.nxtseq,ip.src_host,frame.number,eth.ig,frame.ignored,tcp.urgent_pointer,frame.time_delta_displayed,tcp.checksum.status,eth.dst.oui_resolved,tcp.completeness.rst,eth.dst,_score,tcp.flags,eth.dst.lg,tcp.flags.ack,eth.addr.oui,eth.dst.oui,ip.flags.rb,tcp.window_size,eth.src_resolved,frame.offset_shift,tcp.ack,eth.src.oui_resolved,eth.src_not_group,_ws.expert.message,_ws.expert.severity,tcp.analysis.acks_frame,_ws.expert.group,tcp.analysis.ack_rtt,manolito.options,udp.payload,manolito.dest,manolito.checksum,manolito.src,udp.time_relative,udp.time_delta,udp.srcport,udp.dstport,udp.checksum.status,udp.checksum,udp.length,udp.port,udp.stream,manolito.seqno,icmp.code,icmp.type,icmp.checksum,icmp.checksum.status,icmp.unused,http.user_agent,http.accept,http.chat,http.connection,http.request,http.request.method,\r\n,http.request.full_uri,http.request.version,http.request_number,http.host,http.request.uri,http.request.line,tcp.connection.fin,tcp.connection.fin_active,tcp.connection.fin_passive,tcp.options.mss_val,tcp.options.mss,tcp.connection.syn,tcp.options.sack_perm,tcp.option_kind,tcp.options,tcp.options.nop,tcp.option_len,tcp.connection.rst,tcp.connection.synack,tcp.options.sack_perm.absent,tcp.analysis.initial_rtt,dns.flags.response,dns.qry.name,dns.qry.type,dns.id,dns.count.queries,dns.flags,dns.flags.z,dns.qry.class,dns.count.answers,dns.count.labels,dns.flags.truncated,dns.flags.checkdisable,dns.count.add_rr,dns.flags.opcode,dns.count.auth_rr,dns.flags.recdesired,dns.qry.name.len,tcp.analysis.lost_segment,tcp.analysis.duplicate_ack_num,tcp.analysis.duplicate_ack_frame,tcp.options.sack_re,tcp.options.sack_le,tcp.options.sack.count,tcp.analysis.duplicate_ack,tcp.options.sack,dns.ns,dns.flags.recavail,dns.flags.rcode,dns.ptr.domain_name,dns.flags.authenticated,dns.a,dns.time,dns.flags.authoritative,dns.resp.class,dns.resp.type,dns.resp.ttl,dns.resp.name,dns.response_to,dns.resp.len,tcp.segment_data,tcp.analysis.rto,tcp.analysis.rto_frame,tcp.analysis.retransmission,tcp.analysis.zero_window,tcp.analysis.window_update,dns.retransmission,dns.retransmit_request_in,dns.retransmit_request,ntp.xmt,ntp.rootdelay,ntp.flags.li,ntp.reftime,ntp.flags.vn,ntp.org,ntp.precision,ntp.flags,ntp.ppoll,ntp.rec,ntp.rootdispersion,ntp.flags.mode,ntp.refid,ntp.stratum,dns.retransmit_response_in,dns.retransmit_response,http.content_length,http.time,http.response.version,http.last_modified,http.date,http.response.code,http.content_length_header,http.response_number,tcp.reassembled.length,http.response.code.desc,http.response.line,tcp.segment.count,tcp.segment,http.response.phrase,tcp.reassembled.data,http.request_in,http.response_for.uri,http.response,http.file_data,http.server,http.content_type,media.type,http.prev_request_in
562,562,562,574,562,574,562,574,574,574,562,267,562,574,574,574,574,562,574,574,574,562,562,562,574,574,574,574,574,562,574,271,574,574,562,574,574,574,562,574,574,574,574,562,574,574,562,562,574,562,562,574,574,562,267,574,574,574,562,562,574,562,562,574,574,562,574,562,562,574,558,562,574,574,562,562,574,562,574,574,574,574,562,574,562,283,562,574,0,562,574,562,574,574,574,562,574,574,562,291,291,310,310,254,310,15,1,11,1,1,1,11,11,12,12,12,12,12,12,12,1,1,1,1,1,1,4,4,5,5,4,4,5,4,4,4,4,4,4,4,2,2,4,4,2,2,23,23,21,23,5,2,2,262,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,19,19,19,19,19,19,19,4,4,4,1,4,4,2,4,4,4,4,4,2,4,132,4,4,4,3,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,2,2,6,288,2,2,1,567,302,4,5,1,1,1,1,6,1,1,20,2,1,1,2,14,6,1,1,1,11,1,269,7,2,7,1,15,2,553,7,302,302,1,2,2,1,2,5,6,282,5,2,6,11,12,302,2,1,125,4,2,2,5,1,552,2,2,6,9,2,2,257,2,2,2,1,15,127,7,574,2,1,1,20,1,1,2,2,0,7,2,2,2,2,1,9,2,1,111,1,1,20,3,254,2,9,1,9,1,1,1,8,6,5,5,1,9,6,5,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,3,21,1,3,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,3,1,3,1,2,1,5,4,19,4,1,1,19,4,1,1,1,1,2,2,1,1,1,4,2,2,1,132,4,4,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
